Ticker,Original_Name,Date,Action,Conviction,Entry_Price,T+1w,T+1m,T+3m,T+6m,Verdict
BABA,BABA,September 5th 2024,Buy,10,81.06,3.71,38.94,3.94,57.53,CORRECT ✅
BA,BA,September 5th 2024,Buy on dips,9,162.15,0.38,-4.41,-4.41,-2.0,WRONG ❌
AMZN,AMZN,September 5th 2024,Sold,5,177.89,5.12,4.85,19.98,14.57,PENDING ⏳
BAC,BAC,September 5th 2024,Sold,5,38.76,-2.76,0.58,17.4,7.59,PENDING ⏳
C,C,September 5th 2024,Sold,5,58.47,-5.44,3.32,18.84,21.22,PENDING ⏳
GOOG,GOOG,September 5th 2024,"Sold majority, will extinguish the rest on strength",4,157.6,-1.8,6.42,9.24,9.1,PENDING ⏳
SMTC,SMTC,September 5th 2024,Sold,5,42.17,-3.75,-1.16,58.76,-14.51,PENDING ⏳
NVDA,NVDA,September 5th 2024,Avoid,4,107.16,11.14,16.53,30.84,8.21,WRONG ❌
SWK,SWK,September 5th 2024,Hold,7,93.12,-0.54,9.17,-9.46,-15.61,CORRECT ✅
MMM,MMM,September 5th 2024,"Sold, will consider re-entering below $100",6,128.28,0.48,2.95,0.34,12.15,PENDING ⏳
AAP,AAP,September 5th 2024,Buy,7,39.3,-2.42,-4.37,6.1,-13.48,WRONG ❌
GXO,GXO,September 5th 2024,Hold,8,47.66,3.84,3.44,23.79,-22.14,CORRECT ✅
WHR,WHR,September 5th 2024,Monitor for potential entry,6,90.37,-3.75,6.83,14.95,-3.91,PENDING ⏳
NVDA,NVDA,September 5th 2024,Avoid,4,107.16,11.14,16.53,30.84,8.21,WRONG ❌
ASOMY,ASOS,September 5th 2024,Monitor for potential addition,6,5.55,-0.18,3.42,-13.87,-28.47,CORRECT ✅
WGS,WGS,September 26 2024,Avoid,10,40.62,16.0,44.81,90.55,147.64,WRONG ❌
INTC,INTC,September 26 2024,Buy,7,23.92,-6.94,-5.18,-14.72,1.17,WRONG ❌
QCOM,QCOM,September 26 2024,Buy discreetly,7,168.0,-2.17,-1.38,-7.22,-6.26,FLAT ➖
CHI,CHI,September 26 2024,Avoid,8,10.14,-0.61,1.5,7.63,-8.17,FLAT ➖
BKV,BKV,September 26 2024,Buy,7,18.0,0.06,0.28,25.28,16.61,FLAT ➖
CMCSA,CMCSA,September 26 2024,Buy,8,39.23,0.23,2.32,-5.69,-8.51,FLAT ➖
BABA,BABA,September 26 2024,Buy,10,103.32,7.4,-7.28,-18.61,26.34,WRONG ❌
PYPL,PYPL,September 26 2024,Hold,7,79.9,-3.46,2.02,10.2,-11.51,FLAT ➖
NKE,NKE,September 26 2024,Buy,7,86.89,-8.16,-11.79,-13.66,-24.8,WRONG ❌
BKV,BKV,September 26 2024,Buy,7,18.0,0.06,0.28,25.28,16.61,FLAT ➖
INTC,INTC,September 26 2024,Buy,7,23.92,-6.94,-5.18,-14.72,1.17,WRONG ❌
BKV,BKV,September 26 2024,Buy,7,18.0,0.06,0.28,25.28,16.61,FLAT ➖
CMCSA,CMCSA,September 26 2024,Buy,8,39.23,0.23,2.32,-5.69,-8.51,FLAT ➖
NKE,NKE,September 26 2024,Buy,7,86.89,-8.16,-11.79,-13.66,-24.8,WRONG ❌
PYPL,PYPL,September 26 2024,Hold,7,79.9,-3.46,2.02,10.2,-11.51,FLAT ➖
BABA,BABA,September 26 2024,Buy,10,103.32,7.4,-7.28,-18.61,26.34,WRONG ❌
QCOM,QCOM,September 26 2024,Buy discreetly,7,168.0,-2.17,-1.38,-7.22,-6.26,FLAT ➖
CHI,CHI,September 26 2024,Avoid,8,10.14,-0.61,1.5,7.63,-8.17,FLAT ➖
CHI,CHI,September 26 2024,Avoid,8,10.14,-0.61,1.5,7.63,-8.17,FLAT ➖
WGS,WGS,September 26 2024,Avoid,10,40.62,16.0,44.81,90.55,147.64,WRONG ❌
QCOM,QCOM,September 26 2024,Buy discreetly,7,168.0,-2.17,-1.38,-7.22,-6.26,FLAT ➖
INTC,INTC,September 26 2024,Buy,7,23.92,-6.94,-5.18,-14.72,1.17,WRONG ❌
BABA,BABA,September 26 2024,Buy,10,103.32,7.4,-7.28,-18.61,26.34,WRONG ❌
PYPL,PYPL,September 26 2024,Hold,7,79.9,-3.46,2.02,10.2,-11.51,FLAT ➖
NKE,NKE,September 26 2024,Buy,7,86.89,-8.16,-11.79,-13.66,-24.8,WRONG ❌
WGS,WGS,September 26 2024,Avoid,10,40.62,16.0,44.81,90.55,147.64,WRONG ❌
CMCSA,CMCSA,September 26 2024,Buy,8,39.23,0.23,2.32,-5.69,-8.51,FLAT ➖
INTC,INTC,September 17 2024,Buy,9,21.47,6.24,3.91,-5.26,12.02,CORRECT ✅
INTC,INTC,September 17 2024,Buy,9,21.47,6.24,3.91,-5.26,12.02,CORRECT ✅
C,C,September 17 2024,Hold,5,57.18,3.51,8.37,20.83,17.85,SAFE 🛡️
BAC,BAC,September 17 2024,Hold,5,38.44,-0.25,8.22,16.12,4.62,SAFE 🛡️
NKE,NKE,September 17 2024,Hold,4,78.39,8.46,4.09,-3.71,-10.23,SAFE 🛡️
BAC,BAC,September 17 2024,Hold,5,38.44,-0.25,8.22,16.12,4.62,SAFE 🛡️
PFE,PFE,September 17 2024,Hold,5,27.39,-1.11,-0.54,-12.92,-10.99,FLAT ➖
DIS,DIS,September 17 2024,Hold,6,91.44,0.89,4.19,22.05,6.7,CORRECT ✅
PYPL,PYPL,September 17 2024,Hold,7,71.6,9.15,12.61,26.82,-3.93,SAFE 🛡️
BABA,BABA,September 17 2024,Buy,8,83.29,14.75,20.63,3.68,66.59,CORRECT ✅
BABA,BABA,September 17 2024,Buy,8,83.29,14.75,20.63,3.68,66.59,CORRECT ✅
PYPL,PYPL,September 17 2024,Hold,7,71.6,9.15,12.61,26.82,-3.93,SAFE 🛡️
DIS,DIS,September 17 2024,Hold,6,91.44,0.89,4.19,22.05,6.7,CORRECT ✅
PFE,PFE,September 17 2024,Hold,5,27.39,-1.11,-0.54,-12.92,-10.99,FLAT ➖
ANF,ANF,September 17 2024,Short,7,134.41,5.72,21.85,6.11,-40.64,WRONG ❌
NKE,NKE,September 17 2024,Hold,4,78.39,8.46,4.09,-3.71,-10.23,SAFE 🛡️
XOM,XOM,September 17 2024,Hold,7,109.24,2.51,5.68,-2.13,-0.31,CORRECT ✅
XOM,XOM,September 17 2024,Hold,7,109.24,2.51,5.68,-2.13,-0.31,CORRECT ✅
ANF,ANF,September 17 2024,Short,7,134.41,5.72,21.85,6.11,-40.64,WRONG ❌
C,C,September 17 2024,Hold,5,57.18,3.51,8.37,20.83,17.85,SAFE 🛡️
NKE,NKE,September 17 2024,Hold,4,78.39,8.46,4.09,-3.71,-10.23,SAFE 🛡️
INTC,INTC,September 17 2024,Buy,9,21.47,6.24,3.91,-5.26,12.02,CORRECT ✅
BABA,BABA,September 17 2024,Buy,8,83.29,14.75,20.63,3.68,66.59,CORRECT ✅
C,C,September 17 2024,Hold,5,57.18,3.51,8.37,20.83,17.85,SAFE 🛡️
BAC,BAC,September 17 2024,Hold,5,38.44,-0.25,8.22,16.12,4.62,SAFE 🛡️
XOM,XOM,September 17 2024,Hold,7,109.24,2.51,5.68,-2.13,-0.31,CORRECT ✅
ANF,ANF,September 17 2024,Short,7,134.41,5.72,21.85,6.11,-40.64,WRONG ❌
PFE,PFE,September 17 2024,Hold,5,27.39,-1.11,-0.54,-12.92,-10.99,FLAT ➖
DIS,DIS,September 17 2024,Hold,6,91.44,0.89,4.19,22.05,6.7,CORRECT ✅
PYPL,PYPL,September 17 2024,Hold,7,71.6,9.15,12.61,26.82,-3.93,SAFE 🛡️
INTC,INTC,September 12th 2024,Hold,9,19.36,9.19,21.69,4.13,2.17,CORRECT ✅
AMZN,AMZN,September 12th 2024,Hold,6,187.0,1.53,0.97,20.34,5.13,FLAT ➖
VLKAF,VLKAF,September 12th 2024,Avoid,2,100.25,2.12,0.72,-12.89,13.94,FLAT ➖
BMI,BMI,September 12th 2024,Pass,4,201.94,7.77,10.99,15.34,1.69,PENDING ⏳
NKE,NKE,September 12th 2024,Monitor,6,76.21,3.29,4.78,-1.62,-4.43,CORRECT ✅
CRI,CRI,September 12th 2024,Hold,8,65.8,-2.69,-11.52,-20.23,-38.53,WRONG ❌
GOOS,GOOS,September 12th 2024,Hold,7,10.35,3.19,14.49,-3.38,-11.4,CORRECT ✅
BABA,BABA,September 12th 2024,Hold,10,84.07,3.51,28.83,5.08,62.62,CORRECT ✅
VFC,VFC,September 12th 2024,Hold,9,16.78,8.18,17.92,21.45,1.42,CORRECT ✅
VLKAF,VLKAF,September 12th 2024,Avoid,2,100.25,2.12,0.72,-12.89,13.94,FLAT ➖
BMI,BMI,September 12th 2024,Pass,4,201.94,7.77,10.99,15.34,1.69,PENDING ⏳
BBWI,BBWI,September 12th 2024,Avoid,2,26.23,9.76,15.3,42.27,10.58,WRONG ❌
BA,BA,September 12th 2024,Hold,7,162.77,-5.03,-7.22,0.82,-5.35,WRONG ❌
NKE,NKE,September 12th 2024,Monitor,6,76.21,3.29,4.78,-1.62,-4.43,CORRECT ✅
CRI,CRI,September 12th 2024,Hold,8,65.8,-2.69,-11.52,-20.23,-38.53,WRONG ❌
GOOS,GOOS,September 12th 2024,Hold,7,10.35,3.19,14.49,-3.38,-11.4,CORRECT ✅
BABA,BABA,September 12th 2024,Hold,10,84.07,3.51,28.83,5.08,62.62,CORRECT ✅
AMZN,AMZN,September 12th 2024,Hold,6,187.0,1.53,0.97,20.34,5.13,FLAT ➖
F,F,September 12th 2024,Avoid,2,9.75,2.82,0.94,0.79,-4.5,FLAT ➖
BABA,BABA,September 12th 2024,Hold,10,84.07,3.51,28.83,5.08,62.62,CORRECT ✅
TM,TM,September 12th 2024,Avoid,2,170.32,4.14,0.22,1.17,6.25,FLAT ➖
NKE,NKE,September 12th 2024,Monitor,6,76.21,3.29,4.78,-1.62,-4.43,CORRECT ✅
AMZN,AMZN,September 12th 2024,Hold,6,187.0,1.53,0.97,20.34,5.13,FLAT ➖
BA,BA,September 12th 2024,Hold,7,162.77,-5.03,-7.22,0.82,-5.35,WRONG ❌
BBWI,BBWI,September 12th 2024,Avoid,2,26.23,9.76,15.3,42.27,10.58,WRONG ❌
BMI,BMI,September 12th 2024,Pass,4,201.94,7.77,10.99,15.34,1.69,PENDING ⏳
VLKAF,VLKAF,September 12th 2024,Avoid,2,100.25,2.12,0.72,-12.89,13.94,FLAT ➖
F,F,September 12th 2024,Avoid,2,9.75,2.82,0.94,0.79,-4.5,FLAT ➖
GM,GM,September 12th 2024,Avoid,2,45.54,5.42,3.79,14.61,5.19,WRONG ❌
LVMUY,LVMH,September 12th 2024,Monitor,6,131.59,1.79,6.0,-0.02,2.4,CORRECT ✅
GOOS,GOOS,September 12th 2024,Hold,7,10.35,3.19,14.49,-3.38,-11.4,CORRECT ✅
TM,TM,September 12th 2024,Avoid,2,170.32,4.14,0.22,1.17,6.25,FLAT ➖
LVMUY,LVMH,September 12th 2024,Monitor,6,131.59,1.79,6.0,-0.02,2.4,CORRECT ✅
INTC,INTC,September 12th 2024,Hold,9,19.36,9.19,21.69,4.13,2.17,CORRECT ✅
VFC,VFC,September 12th 2024,Hold,9,16.78,8.18,17.92,21.45,1.42,CORRECT ✅
LVMUY,LVMH,September 12th 2024,Monitor,6,131.59,1.79,6.0,-0.02,2.4,CORRECT ✅
TM,TM,September 12th 2024,Avoid,2,170.32,4.14,0.22,1.17,6.25,FLAT ➖
GM,GM,September 12th 2024,Avoid,2,45.54,5.42,3.79,14.61,5.19,WRONG ❌
F,F,September 12th 2024,Avoid,2,9.75,2.82,0.94,0.79,-4.5,FLAT ➖
CRI,CRI,September 12th 2024,Hold,8,65.8,-2.69,-11.52,-20.23,-38.53,WRONG ❌
BA,BA,September 12th 2024,Hold,7,162.77,-5.03,-7.22,0.82,-5.35,WRONG ❌
VFC,VFC,September 12th 2024,Hold,9,16.78,8.18,17.92,21.45,1.42,CORRECT ✅
GM,GM,September 12th 2024,Avoid,2,45.54,5.42,3.79,14.61,5.19,WRONG ❌
BBWI,BBWI,September 12th 2024,Avoid,2,26.23,9.76,15.3,42.27,10.58,WRONG ❌
INTC,INTC,September 12th 2024,Hold,9,19.36,9.19,21.69,4.13,2.17,CORRECT ✅
BABA,BABA,October 9th 2024,"Buy on pullbacks, reload options under $100",10,106.1,-5.3,-7.18,-22.43,-1.77,PENDING ⏳
CVS,CVS,October 9th 2024,Pass,4,62.57,-1.44,-12.53,-29.48,-0.89,PENDING ⏳
KWEB,KWEB,October 9th 2024,Monitor for entry point,7,33.46,-6.39,-0.9,-15.72,-12.29,FLAT ➖
FXI,FXI,October 9th 2024,Monitor,5,31.86,-3.48,1.92,-8.66,-7.14,PENDING ⏳
COM,COM,October 9th 2024,Hold,9,27.68,0.68,1.33,0.39,-1.57,FLAT ➖
PFE,PFE,October 9th 2024,Monitor,7,27.72,-1.72,-9.04,-9.65,-22.62,WRONG ❌
ILMN,ILMN,October 9th 2024,Monitor,7,140.0,2.78,10.82,-0.23,-47.54,CORRECT ✅
UPS,UPS,October 9th 2024,Monitor,6,122.93,2.14,0.86,-3.52,-26.23,FLAT ➖
FDX,FDX,October 9th 2024,Monitor,6,257.25,2.71,7.02,4.39,-21.64,CORRECT ✅
NVDA,NVDA,October 9th 2024,Avoid,2,132.6,2.31,12.24,5.63,-26.38,WRONG ❌
CPS,CPS,October 9th 2024,Hold,8,13.26,-0.75,20.06,1.96,-6.79,CORRECT ✅
CNXC,CNXC,October 9th 2024,Pass,2,45.65,8.92,-8.1,-2.66,1.36,CORRECT ✅
UNH,UNH,October 9th 2024,Monitor,6,574.81,-3.36,2.41,-10.94,-10.53,FLAT ➖
GS,GS,October 9th 2024,Monitor,6,492.64,4.89,15.24,15.38,-6.94,CORRECT ✅
TLT,TLT,October 9th 2024,Monitor,5,89.81,0.91,-2.98,-7.93,-2.63,PENDING ⏳
BA,BA,October 9th 2024,Buy on dips,7,149.37,3.7,1.08,14.99,-7.04,FLAT ➖
TXT,TXT,October 9th 2024,Pass,3,86.23,1.51,1.77,-11.95,-29.21,FLAT ➖
CAT,CAT,October 9th 2024,Monitor,6,388.9,-0.65,3.4,-8.54,-28.8,CORRECT ✅
BA,BA,October 9th 2024,Buy on dips,7,149.37,3.7,1.08,14.99,-7.04,FLAT ➖
TXT,TXT,October 9th 2024,Pass,3,86.23,1.51,1.77,-11.95,-29.21,FLAT ➖
CNXC,CNXC,October 9th 2024,Pass,2,45.65,8.92,-8.1,-2.66,1.36,CORRECT ✅
CPS,CPS,October 9th 2024,Hold,8,13.26,-0.75,20.06,1.96,-6.79,CORRECT ✅
FDX,FDX,October 9th 2024,Monitor,6,257.25,2.71,7.02,4.39,-21.64,CORRECT ✅
UPS,UPS,October 9th 2024,Monitor,6,122.93,2.14,0.86,-3.52,-26.23,FLAT ➖
ILMN,ILMN,October 9th 2024,Monitor,7,140.0,2.78,10.82,-0.23,-47.54,CORRECT ✅
PFE,PFE,October 9th 2024,Monitor,7,27.72,-1.72,-9.04,-9.65,-22.62,WRONG ❌
COM,COM,October 9th 2024,Hold,9,27.68,0.68,1.33,0.39,-1.57,FLAT ➖
FXI,FXI,October 9th 2024,Monitor,5,31.86,-3.48,1.92,-8.66,-7.14,PENDING ⏳
KWEB,KWEB,October 9th 2024,Monitor for entry point,7,33.46,-6.39,-0.9,-15.72,-12.29,FLAT ➖
BABA,BABA,October 9th 2024,"Buy on pullbacks, reload options under $100",10,106.1,-5.3,-7.18,-22.43,-1.77,PENDING ⏳
CAT,CAT,October 9th 2024,Monitor,6,388.9,-0.65,3.4,-8.54,-28.8,CORRECT ✅
UNH,UNH,October 9th 2024,Monitor,6,574.81,-3.36,2.41,-10.94,-10.53,FLAT ➖
GS,GS,October 9th 2024,Monitor,6,492.64,4.89,15.24,15.38,-6.94,CORRECT ✅
CAT,CAT,October 9th 2024,Monitor,6,388.9,-0.65,3.4,-8.54,-28.8,CORRECT ✅
UNH,UNH,October 9th 2024,Monitor,6,574.81,-3.36,2.41,-10.94,-10.53,FLAT ➖
GS,GS,October 9th 2024,Monitor,6,492.64,4.89,15.24,15.38,-6.94,CORRECT ✅
NVDA,NVDA,October 9th 2024,Avoid,2,132.6,2.31,12.24,5.63,-26.38,WRONG ❌
CVS,CVS,October 9th 2024,Pass,4,62.57,-1.44,-12.53,-29.48,-0.89,PENDING ⏳
TLT,TLT,October 9th 2024,Monitor,5,89.81,0.91,-2.98,-7.93,-2.63,PENDING ⏳
ILMN,ILMN,October 9th 2024,Monitor,7,140.0,2.78,10.82,-0.23,-47.54,CORRECT ✅
TLT,TLT,October 9th 2024,Monitor,5,89.81,0.91,-2.98,-7.93,-2.63,PENDING ⏳
CNXC,CNXC,October 9th 2024,Pass,2,45.65,8.92,-8.1,-2.66,1.36,CORRECT ✅
NVDA,NVDA,October 9th 2024,Avoid,2,132.6,2.31,12.24,5.63,-26.38,WRONG ❌
CPS,CPS,October 9th 2024,Hold,8,13.26,-0.75,20.06,1.96,-6.79,CORRECT ✅
CVS,CVS,October 9th 2024,Pass,4,62.57,-1.44,-12.53,-29.48,-0.89,PENDING ⏳
BA,BA,October 9th 2024,Buy on dips,7,149.37,3.7,1.08,14.99,-7.04,FLAT ➖
UPS,UPS,October 9th 2024,Monitor,6,122.93,2.14,0.86,-3.52,-26.23,FLAT ➖
FDX,FDX,October 9th 2024,Monitor,6,257.25,2.71,7.02,4.39,-21.64,CORRECT ✅
PFE,PFE,October 9th 2024,Monitor,7,27.72,-1.72,-9.04,-9.65,-22.62,WRONG ❌
COM,COM,October 9th 2024,Hold,9,27.68,0.68,1.33,0.39,-1.57,FLAT ➖
FXI,FXI,October 9th 2024,Monitor,5,31.86,-3.48,1.92,-8.66,-7.14,PENDING ⏳
KWEB,KWEB,October 9th 2024,Monitor for entry point,7,33.46,-6.39,-0.9,-15.72,-12.29,FLAT ➖
BABA,BABA,October 9th 2024,"Buy on pullbacks, reload options under $100",10,106.1,-5.3,-7.18,-22.43,-1.77,PENDING ⏳
TXT,TXT,October 9th 2024,Pass,3,86.23,1.51,1.77,-11.95,-29.21,FLAT ➖
PZZA,PZZA,October 2nd 2024,Research for potential opportunity,6,49.62,-7.92,0.0,-20.84,-19.85,FLAT ➖
BA,BA,October 2nd 2024,Hold,6,152.89,-2.3,-2.34,15.77,11.55,FLAT ➖
XOM,XOM,October 2nd 2024,Pass,4,116.26,0.47,-3.9,-10.75,-0.44,PENDING ⏳
KSS,KSS,October 2nd 2024,Avoid,2,18.1,-2.92,-5.23,-25.55,-55.98,CORRECT ✅
AZO,AZO,October 2nd 2024,Hold,5,3083.43,2.03,-2.41,3.85,23.65,SAFE 🛡️
INMD,INMD,October 2nd 2024,Research for potential opportunity,7,15.44,-2.53,10.62,8.16,14.9,CORRECT ✅
TXT,TXT,October 2nd 2024,Pass,3,86.87,-0.74,-7.54,-12.04,-16.89,CORRECT ✅
AMZN,AMZN,October 2nd 2024,Take profits,5,184.76,0.22,0.89,18.74,2.98,PENDING ⏳
PLTR,PLTR,October 2nd 2024,Hold,9,37.49,15.04,10.86,101.73,125.13,CORRECT ✅
HUM,HUM,October 2nd 2024,Research for potential opportunity,5,243.08,-0.42,4.6,3.29,8.08,PENDING ⏳
AMZN,AMZN,October 2nd 2024,Take profits,5,184.76,0.22,0.89,18.74,2.98,PENDING ⏳
DIS,DIS,October 2nd 2024,Hold,7,92.71,-0.58,2.18,18.79,5.3,FLAT ➖
COST,COST,October 2nd 2024,Buy on technical dips,7,872.81,3.48,-0.5,4.43,7.92,FLAT ➖
INTC,INTC,October 2nd 2024,Buy,10,22.39,4.78,-3.89,-10.45,1.43,WRONG ❌
BABA,BABA,October 2nd 2024,Buy on dips,10,113.33,-6.39,-14.98,-26.43,14.73,WRONG ❌
PLTR,PLTR,October 2nd 2024,Hold,9,37.49,15.04,10.86,101.73,125.13,CORRECT ✅
PLTR,PLTR,October 2nd 2024,Hold,9,37.49,15.04,10.86,101.73,125.13,CORRECT ✅
BABA,BABA,October 2nd 2024,Buy on dips,10,113.33,-6.39,-14.98,-26.43,14.73,WRONG ❌
INTC,INTC,October 2nd 2024,Buy,10,22.39,4.78,-3.89,-10.45,1.43,WRONG ❌
BABA,BABA,October 2nd 2024,Buy on dips,10,113.33,-6.39,-14.98,-26.43,14.73,WRONG ❌
DIS,DIS,October 2nd 2024,Hold,7,92.71,-0.58,2.18,18.79,5.3,FLAT ➖
AMZN,AMZN,October 2nd 2024,Take profits,5,184.76,0.22,0.89,18.74,2.98,PENDING ⏳
TSLA,TSLA,October 2nd 2024,Hold,5,249.02,-3.2,0.33,62.17,4.07,SAFE 🛡️
HUM,HUM,October 2nd 2024,Research for potential opportunity,5,243.08,-0.42,4.6,3.29,8.08,PENDING ⏳
XOM,XOM,October 2nd 2024,Pass,4,116.26,0.47,-3.9,-10.75,-0.44,PENDING ⏳
KSS,KSS,October 2nd 2024,Avoid,2,18.1,-2.92,-5.23,-25.55,-55.98,CORRECT ✅
AZO,AZO,October 2nd 2024,Hold,5,3083.43,2.03,-2.41,3.85,23.65,SAFE 🛡️
INMD,INMD,October 2nd 2024,Research for potential opportunity,7,15.44,-2.53,10.62,8.16,14.9,CORRECT ✅
PZZA,PZZA,October 2nd 2024,Research for potential opportunity,6,49.62,-7.92,0.0,-20.84,-19.85,FLAT ➖
TXT,TXT,October 2nd 2024,Pass,3,86.87,-0.74,-7.54,-12.04,-16.89,CORRECT ✅
BA,BA,October 2nd 2024,Hold,6,152.89,-2.3,-2.34,15.77,11.55,FLAT ➖
TSLA,TSLA,October 2nd 2024,Hold,5,249.02,-3.2,0.33,62.17,4.07,SAFE 🛡️
COST,COST,October 2nd 2024,Buy on technical dips,7,872.81,3.48,-0.5,4.43,7.92,FLAT ➖
PZZA,PZZA,October 2nd 2024,Research for potential opportunity,6,49.62,-7.92,0.0,-20.84,-19.85,FLAT ➖
INMD,INMD,October 2nd 2024,Research for potential opportunity,7,15.44,-2.53,10.62,8.16,14.9,CORRECT ✅
TXT,TXT,October 2nd 2024,Pass,3,86.87,-0.74,-7.54,-12.04,-16.89,CORRECT ✅
BA,BA,October 2nd 2024,Hold,6,152.89,-2.3,-2.34,15.77,11.55,FLAT ➖
KSS,KSS,October 2nd 2024,Avoid,2,18.1,-2.92,-5.23,-25.55,-55.98,CORRECT ✅
XOM,XOM,October 2nd 2024,Pass,4,116.26,0.47,-3.9,-10.75,-0.44,PENDING ⏳
HUM,HUM,October 2nd 2024,Research for potential opportunity,5,243.08,-0.42,4.6,3.29,8.08,PENDING ⏳
TSLA,TSLA,October 2nd 2024,Hold,5,249.02,-3.2,0.33,62.17,4.07,SAFE 🛡️
DIS,DIS,October 2nd 2024,Hold,7,92.71,-0.58,2.18,18.79,5.3,FLAT ➖
COST,COST,October 2nd 2024,Buy on technical dips,7,872.81,3.48,-0.5,4.43,7.92,FLAT ➖
INTC,INTC,October 2nd 2024,Buy,10,22.39,4.78,-3.89,-10.45,1.43,WRONG ❌
AZO,AZO,October 2nd 2024,Hold,5,3083.43,2.03,-2.41,3.85,23.65,SAFE 🛡️
AMR,AMR,October 24th 2024,Avoid,1,203.37,2.42,20.7,-2.04,-38.81,WRONG ❌
MPW,MPW,October 24th 2024,Avoid,3,4.53,-6.09,-12.58,-5.46,11.74,CORRECT ✅
WPC,WPC,October 24th 2024,Hold,5,55.23,-4.83,-2.48,-4.89,7.54,SAFE 🛡️
CIM,CIM,October 24th 2024,Avoid,2,13.9,-2.64,-5.48,-5.43,-21.08,CORRECT ✅
CCI,CCI,October 24th 2024,Hold,7,104.31,-3.55,-5.39,-19.19,-5.19,WRONG ❌
